,R_ABS,G_ABS
261146,-21.289910609232745,-20.520969313885697
262265,-21.306272913209277,-20.67878494194291
265557,-20.60853468956092,-20.125095029876956
266599,-21.890082076629255,-21.26312236336523
268261,-22.515819727237357,-21.69067561626987
268702,-20.22442520078254,-19.458007821796926
270592,-22.001452397013246,-21.174505535802506
275485,-21.271944825829507,-20.44274022401409
279589,-20.39186255082786,-19.91998942235882
279796,-20.45630858516421,-19.68005943681208
280007,-20.391973711293346,-19.991956692184434
280064,-22.87471757058399,-22.09595267916181
280095,-20.802646239576617,-20.035041262565688
280245,-21.099588038227,-20.334063024017816
280684,-21.023408384093237,-20.411191115447284
280790,-20.555713220759063,-19.937548200760776
280841,-21.763975079438794,-21.05498161110207
280882,-20.80676113802113,-20.021440524749554
281226,-21.13104532616908,-20.30775509694853
281343,-20.823774646746756,-20.05979060987629
281382,-21.3812545841771,-20.639417409669647
282050,-20.52904891093474,-19.73097967706991
282177,-21.62190370892982,-20.839657446763642
282465,-20.37041138572282,-19.64914148392918
282493,-20.175001469894923,-19.427792309471442
282522,-20.611107051635067,-19.853862647887407
282628,-20.30843386604947,-19.80562335863232
282766,-21.511746957920916,-20.708983435484285
282808,-21.301923256079203,-20.539810307373404
282834,-20.33349310091561,-19.55409380256487
283058,-22.3631323983266,-21.584673894242147
283157,-21.408826051507056,-20.584356767005964
283182,-22.254348438195272,-21.48071613347337
283239,-21.977083609578404,-21.169040051321502
283293,-21.313377913919133,-20.52266655694064
283350,-22.712052047498346,-22.001998796580267
283408,-21.715598361070285,-21.05883081840159
283476,-21.83082469507194,-21.271810572652768
283498,-20.22927445371251,-19.63406817434785
283524,-20.99429798456015,-20.22268955403062
283706,-21.443721613040122,-20.653015651976265
283822,-21.628119206420195,-20.915276858142843
283912,-21.052656071818507,-20.343183337201108
284621,-21.37850871305813,-20.59990145779677
285234,-20.309430097441663,-19.94556758453614
285668,-20.447359143693998,-20.050071620277222
286225,-20.946788670280014,-20.23066854956307
286681,-21.320568861891694,-20.612988880567013
286714,-20.540757321826185,-19.837823636048473
287339,-20.963379521336098,-20.290758025306115
288081,-21.300064787102283,-20.34335549481923
288640,-20.55134518345285,-19.807364642882423
289197,-21.902983086778093,-21.317711959041343
290154,-21.43382814542851,-20.68691008568537
291814,-22.448259457854384,-21.664620582680357
292045,-20.924813556522512,-20.205794945779505
292240,-20.759519406945095,-20.187040229573775
293397,-21.357778855386048,-20.452767645954022
293416,-20.48172345875642,-19.748103743803625
297356,-20.656793761155228,-19.872309562123323
301487,-21.08342731378418,-20.61384883032947
302022,-20.325399930446732,-19.560760190218957
302807,-20.588604925820768,-20.043217593886403
303557,-20.476773915680877,-19.734183688647008
312139,-21.436790532170512,-20.86011652691134
315805,-20.83688672323484,-20.033903041772895
317444,-21.807425757334226,-21.013025645608526
317797,-21.447760467286553,-20.68773050124404
318064,-20.370761502168833,-19.650773719015696
319190,-20.785131083857124,-20.00960730800866
326172,-21.033710906729354,-20.430493559816597
326220,-21.448994404392625,-20.85716192154723
327636,-21.594161237700085,-20.803909298856137
327736,-21.984556337393663,-21.20574716045748
330526,-21.13371069937301,-20.331826275135573
330665,-20.699831735130854,-19.894628351247135
330794,-21.952106530818693,-21.143080160537647
330854,-21.034193511417378,-20.31782648047627
330989,-21.37087199324844,-20.62213667848659
331141,-20.49622812514115,-19.710822660002613
331144,-21.56776511824692,-20.73404597250884
331465,-20.444625220756116,-19.878478501460638
331522,-21.295342198531017,-20.550269607401674
331557,-22.198724826004632,-21.555208316885956
331640,-20.94279686462943,-20.174541052561594
331810,-21.263702519214586,-20.581356279914015
331889,-21.30023150141168,-20.531277085166284
331949,-21.44919282589557,-20.69726811948144
332923,-20.794424201444595,-20.067247242212076
333085,-21.985308356988863,-21.213030855828066
333088,-21.831103634955575,-21.106153086627554
333108,-20.969154780263104,-20.237961520192034
333172,-20.34729616165144,-19.75526811663047
333481,-21.173419609691177,-20.526160410621472
333513,-21.2642822455488,-20.492323545579428
333707,-20.14352121534827,-19.401724635236693
333710,-21.741876812432665,-20.951400143191137
